971 9113
0 8 16.863
0 17 17.676
0 211 24.817
0 215 15.82
0 220 15.673
0 256 17.818
0 578 16.875
0 609 16.825
0 628 18.822
0 630 18.9
0 633 15.713
0 669 21.881
0 712 18.8
0 723 15.78
0 783 15.847
0 852 18.878
0 910 15.78
0 938 15.793
0 948 15.753
0 955 15.9
1 4 20.8
1 9 17.7
1 11 15.687
1 45 17.794
1 47 21.814
1 68 17.724
1 74 15.78
1 75 16.775
1 76 18.756
1 91 17.653
1 123 15.753
1 166 25.748
1 172 15.78
1 179 15.74
1 211 15.767
1 220 18.767
1 224 16.675
1 244 15.793
1 245 16.7
1 257 18.822
1 262 15.807
1 289 19.763
1 293 21.748
1 351 16.675
1 575 17.794
1 583 18.756
1 587 15.807
1 590 16.725
1 604 17.818
1 618 18.733
1 619 16.688
1 621 19.795
1 625 17.771
1 633 20.77
1 639 16.788
1 648 25.724
1 651 15.793
1 653 20.78
1 657 19.753
1 665 16.75
1 675 20.78
1 686 15.78
1 689 16.9
1 704 17.818
1 705 15.687
1 712 18.756
1 723 17.747
1 735 22.755
1 762 15.78
1 768 16.75
1 783 21.767
1 786 16.863
1 792 18.733
1 794 23.717
1 806 19.795
1 830 19.689
1 852 17.853
1 857 16.713
1 868 16.738
1 873 17.712
1 881 15.687
1 884 20.78
1 895 27.856
1 896 22.727
1 900 16.813
1 909 17.865
1 910 19.784
1 914 15.793
1 924 25.74
1 933 16.763
1 948 19.826
4 9 16.888
4 11 20.88
4 12 18.811
4 16 15.873
4 21 15.9
4 28 18.778
4 32 15.793
4 37 19.805
4 41 15.86
4 47 16.788
4 48 15.833
4 65 18.9
4 67 16.825
4 68 17.876
4 76 15.847
4 86 19.858
4 134 17.818
4 162 17.841
4 166 20.82
4 172 17.794
4 214 16.8
4 220 19.837
4 221 16.888
4 224 17.829
4 232 15.86
4 244 23.822
4 256 15.82
4 257 18.844
4 273 18.867
4 289 16.813
4 305 18.856
4 567 16.9
4 581 16.8
4 583 17.841
4 592 15.847
4 598 15.753
4 609 16.85
4 613 22.845
4 619 18.767
4 621 20.81
4 648 19.858
4 651 22.745
4 652 15.833
4 653 18.867
4 654 16.775
4 655 16.863
4 657 18.844
4 667 23.83
4 675 20.86
4 689 22.9
4 709 16.85
4 712 25.836
4 723 17.853
4 735 24.858
4 739 15.847
4 760 15.847
4 762 22.782
4 783 22.836
4 789 15.9
4 792 15.833
